AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE,AGE,BUILDTYPE_Commercial,BUILDTYPE_House,BUILDTYPE_Others
1,1004,1,1,3,3,1,4,2,1,8124400,44,1,0,0
6,1986,2,1,5,3,0,4,3,4,22781941,11,1,0,0
2,909,1,1,3,3,1,1,3,5,13672408,20,1,0,0
4,1855,3,2,5,2,0,3,2,3,10063653,22,0,0,1
1,1226,1,1,3,3,1,4,3,2,7717313,30,0,0,1
3,1220,2,1,4,1,0,2,1,4,13002093,5,1,0,0
3,1167,1,1,3,1,0,4,1,5,8785897,28,0,0,1
4,1847,3,2,5,2,0,4,3,6,17640263,10,1,0,0
3,771,1,1,2,5,0,3,2,6,8599784,34,0,0,1
4,1635,2,1,4,3,0,1,1,3,8528251,15,0,0,1
3,1203,2,1,4,5,1,4,1,6,15460830,28,1,0,0
3,1054,1,1,3,1,0,3,3,6,9837169,37,0,0,1
3,1196,1,1,3,2,0,3,1,5,9099021,19,0,0,1
2,1056,1,1,3,1,1,3,2,4,9743177,26,0,0,1
4,1865,3,2,5,2,0,3,2,6,16414161,54,1,0,0
4,1868,3,2,5,2,0,3,3,4,16499784,9,1,0,0
1,1639,2,2,4,4,1,1,3,3,9019552,18,0,1,0
3,796,1,1,2,5,1,4,1,5,11359965,36,1,0,0
2,1136,1,1,3,4,1,4,2,1,8660489,30,0,0,1
6,1902,2,1,5,2,1,1,2,5,22157385,42,1,0,0
3,1069,1,1,3,3,1,3,2,6,11232696,4,0,0,1
3,931,1,1,3,3,1,1,2,5,9461549,22,0,0,1
5,2010,3,2,5,1,0,3,3,4,11515372,10,0,0,1
3,1074,1,1,3,3,0,3,3,5,10002847,16,0,0,1
7,1972,2,1,5,5,0,3,1,4,14577130,5,0,0,1
7,1685,1,1,4,2,0,3,3,6,13130325,34,0,1,0
2,1130,1,1,3,2,1,1,2,4,13905300,30,1,0,0
1,1301,1,1,3,4,1,3,3,2,8368365,7,0,0,1
2,730,1,1,2,5,1,1,3,5,9166824,39,0,1,0
7,1806,2,1,5,2,0,2,2,4,11882434,35,0,1,0
6,1981,2,1,5,5,0,1,1,5,13464561,9,0,1,0
2,868,1,1,3,4,0,2,3,5,9439900,10,0,0,1
7,1721,1,1,4,5,1,1,2,6,15513979,20,0,0,1
4,1755,2,1,4,5,1,4,3,1,10702831,19,0,0,1
6,1709,1,1,4,2,0,2,3,4,13471591,6,0,0,1
5,2114,3,2,5,5,1,2,3,4,18478191,21,1,0,0
1,1226,1,1,3,4,0,4,2,1,5239698,27,0,1,0
4,1648,2,1,4,2,1,2,2,2,9528316,13,0,0,1
3,856,1,1,3,5,1,3,3,6,10819523,26,0,0,1
2,904,1,1,3,5,0,1,1,6,11972645,40,1,0,0
3,1198,1,1,3,4,0,4,1,4,8603978,36,0,0,1
1,931,1,1,3,5,0,4,2,1,7402837,18,1,0,0
1,1290,1,1,3,5,1,4,2,4,8201955,48,0,1,0
1,507,1,1,2,3,1,1,3,4,6054496,46,0,1,0
5,2492,4,2,6,3,0,2,2,5,19867776,16,1,0,0
1,851,1,1,2,1,0,4,1,2,3779441,29,0,1,0
7,1882,2,1,5,3,1,1,3,6,16757850,21,0,0,1
6,1710,1,1,4,4,1,4,3,4,21186337,11,1,0,0
1,1412,2,2,4,5,0,1,3,5,8823087,28,0,1,0
2,779,1,1,2,4,0,3,1,2,5512842,9,0,1,0
7,1655,1,1,4,3,0,4,3,4,13163828,34,0,0,1
1,940,1,1,3,5,0,4,2,4,6185784,49,0,1,0
5,1667,2,1,4,1,1,2,2,6,11362753,5,0,1,0
5,1926,3,2,5,2,1,2,2,6,17976166,9,1,0,0
2,718,1,1,2,1,1,1,1,2,5837413,30,0,0,1
1,545,1,1,2,1,0,1,1,4,4108764,30,0,0,1
1,1249,1,1,3,5,1,1,3,4,9033213,36,0,0,1
7,1894,2,1,5,1,1,3,3,5,14118319,45,0,1,0
1,1469,2,2,4,3,0,3,1,2,9897904,5,1,0,0
2,916,1,1,3,4,1,1,1,1,6098963,28,0,1,0
3,934,1,1,3,5,1,2,2,6,10079914,22,0,1,0
1,1691,2,2,4,3,0,2,3,6,9896884,31,0,1,0
1,1236,1,1,3,4,0,3,2,3,9255369,39,1,0,0
7,1577,1,1,4,1,1,2,2,4,12582910,36,0,0,1
6,1915,2,1,5,1,1,2,3,4,14700118,41,0,0,1
6,1600,1,1,4,2,1,1,3,4,12397652,21,0,1,0
4,1579,2,1,4,3,1,1,2,3,14073061,24,1,0,0
2,1260,2,2,4,1,0,2,1,1,7213740,25,0,0,1
2,1021,1,1,3,4,0,2,2,3,12210141,5,1,0,0
5,2174,3,2,5,2,1,4,2,6,13932343,23,0,0,1
6,1589,1,1,4,1,0,4,3,5,12749693,44,0,0,1
2,668,1,1,2,3,1,2,3,3,10715485,5,1,0,0
4,1724,2,1,4,3,1,1,1,5,9466999,54,0,1,0
2,890,1,1,3,3,1,3,2,2,7482031,30,0,1,0
2,1218,2,2,4,4,0,4,1,3,13090419,30,1,0,0
6,1792,1,1,4,2,1,1,3,6,14671115,21,0,1,0
1,1378,2,2,4,5,0,3,3,6,10423293,9,0,0,1
1,898,1,1,3,1,1,3,2,4,9190684,29,1,0,0
6,1928,2,1,5,1,0,4,1,4,12238735,10,0,1,0
3,1233,2,1,4,3,0,2,3,6,10170568,33,0,1,0
4,1618,2,1,4,5,1,3,2,2,9726203,40,0,0,1
1,627,1,1,2,2,0,3,3,6,6903700,28,0,1,0
4,1563,2,1,4,2,0,2,3,6,10299127,28,0,1,0
1,1693,2,2,4,4,1,3,3,2,13351965,6,1,0,0
7,1522,1,1,4,1,0,4,3,5,18135236,43,1,0,0
2,1090,1,1,3,1,1,2,3,4,10304376,28,0,0,1
3,1085,1,1,3,3,1,3,3,5,14851860,6,1,0,0
7,1687,1,1,4,3,0,3,2,4,13113085,13,0,0,1
2,692,1,1,2,4,1,4,2,4,10900422,37,1,0,0
7,1518,1,1,4,2,1,4,2,4,18216248,37,1,0,0
2,1025,1,1,3,1,0,2,2,3,11426944,25,1,0,0
5,2170,3,2,5,2,1,3,3,5,13250584,8,0,1,0
3,969,1,1,3,2,1,1,1,4,11732447,17,1,0,0
5,1546,2,1,4,3,0,4,3,6,14825026,27,1,0,0
5,1709,2,1,4,3,1,2,2,5,10861682,20,0,1,0
7,1659,1,1,4,5,1,2,1,5,14188956,18,0,0,1
3,755,1,1,2,4,0,1,3,6,11060310,33,1,0,0
2,1182,1,1,3,4,1,4,1,5,10281471,17,0,1,0
2,735,1,1,2,5,0,2,1,4,9895773,14,1,0,0
3,1089,1,1,3,4,1,1,2,5,9330756,32,0,1,0
4,1534,2,1,4,1,1,1,2,2,8251996,53,0,0,1
6,1622,1,1,4,2,1,1,3,5,13651305,5,0,1,0
5,2198,3,2,5,1,1,3,3,6,14386494,21,0,0,1
3,1293,2,1,4,4,0,1,1,5,13693157,39,1,0,0
5,1641,2,1,4,1,0,4,3,5,10663419,29,0,0,1
4,1950,3,2,5,5,1,2,2,5,12602262,41,0,0,1
1,1245,1,1,3,1,0,2,2,1,5233151,28,0,0,1
3,905,1,1,3,2,0,1,3,4,8003625,33,0,0,1
5,1496,2,1,4,2,0,3,3,4,8971826,14,0,1,0
4,1892,3,2,5,5,1,1,3,6,12729658,36,0,1,0
4,1517,2,1,4,2,0,1,2,2,12196843,11,1,0,0
2,1034,1,1,3,5,1,1,3,2,9580726,16,0,0,1
4,1755,2,1,4,2,1,3,3,3,15691527,35,1,0,0
6,1622,1,1,4,5,1,2,2,6,14198084,7,0,1,0
3,1092,1,1,3,4,0,4,1,4,8516922,4,0,0,1
3,821,1,1,3,5,0,2,2,4,7552336,8,0,1,0
5,1694,2,1,4,2,0,2,3,5,10858491,11,0,0,1
6,1809,2,1,5,2,0,4,1,5,19955937,26,1,0,0
1,1401,2,2,4,1,1,4,3,5,10633056,14,0,0,1
1,1470,2,2,4,3,0,3,1,4,7682662,25,0,0,1
3,798,1,1,2,1,0,3,2,4,9469654,37,1,0,0
3,764,1,1,2,1,0,1,1,4,5919689,8,0,1,0
3,1135,1,1,3,3,0,3,1,6,9697353,23,0,0,1
1,939,1,1,3,3,0,1,1,3,4547346,38,0,1,0
1,1586,2,2,4,4,1,3,3,6,15103380,28,1,0,0
7,1973,2,1,5,2,1,4,3,6,24309201,35,1,0,0
3,1023,1,1,3,1,1,4,2,6,10056410,17,0,1,0
3,884,1,1,3,4,0,3,1,6,11665156,4,1,0,0
6,1640,1,1,4,5,0,1,1,4,18391963,5,1,0,0
2,622,1,1,2,4,0,1,1,5,6862108,20,0,0,1
6,1880,2,1,5,1,1,2,1,6,14121017,16,0,1,0
5,2413,4,2,6,3,0,2,2,6,13712532,9,0,0,1
7,1649,1,1,4,5,0,4,3,4,19734543,25,1,0,0
4,1729,2,1,4,1,1,3,2,1,13328517,41,1,0,0
7,1942,2,1,5,2,0,2,3,4,12712993,37,0,1,0
3,711,1,1,2,5,1,2,1,5,8364230,12,0,0,1
3,885,1,1,3,2,0,1,1,6,7539941,32,0,1,0
5,1688,2,1,4,3,1,3,3,6,12245828,15,0,1,0
2,1236,2,2,4,2,0,1,3,1,12540840,37,1,0,0
1,926,1,1,3,2,0,1,3,5,7234604,20,0,1,0
5,1686,2,1,4,3,0,2,2,6,10925799,24,0,0,1
1,1344,2,2,4,5,0,3,3,4,11522927,50,1,0,0
5,1437,2,1,4,2,0,4,3,6,10792235,23,0,0,1
1,1430,2,2,4,3,1,3,1,1,6980809,10,0,0,1
2,1081,1,1,3,2,0,4,1,2,6437756,30,0,1,0
